Bytes in file:	170
Name of file:	clear-data-2.bin
Clear|Fuzzy:	clear
Men                  @ Offset: 07
never                @ Offset: 14
do                   @ Offset: 4c
evil                 @ Offset: 82
so                   @ Offset: 1c
completely           @ Offset: 3f
and                  @ Offset: 67
cheerfully           @ Offset: 89
as                   @ Offset: 32
when                 @ Offset: 51
they                 @ Offset: 0d
do                   @ Offset: 7d
it                   @ Offset: 37
from                 @ Offset: 6d
religious            @ Offset: 26
conviction.          @ Offset: 96
                     @ Offset: 3c
--                   @ Offset: 21
Blaise               @ Offset: a4
Pascal               @ Offset: 74
(attributed)         @ Offset: 58
