Bytes in file:	357
Name of file:	clear-data-3.bin
Clear|Fuzzy:	clear
What                 @ Offset: 88
Paul                 @ Offset: 3d
does,                @ Offset: d9
and                  @ Offset: 07
does                 @ Offset: cb
very                 @ Offset: ae
well,                @ Offset: c3
is                   @ Offset: 10c
to                   @ Offset: 0d
take                 @ Offset: 130
ideas                @ Offset: 9a
and                  @ Offset: 59
concepts             @ Offset: 6e
that                 @ Offset: 36
are                  @ Offset: 15d
beautiful            @ Offset: 1f
in                   @ Offset: 31
the                  @ Offset: 2b
abstract,            @ Offset: a2
and                  @ Offset: 106
brings               @ Offset: 12
them                 @ Offset: d2
down                 @ Offset: 79
to                   @ Offset: e1
a                    @ Offset: 1b
real                 @ Offset: 121
world                @ Offset: 66
level.               @ Offset: 146
That's               @ Offset: 44
a                    @ Offset: 111
rare                 @ Offset: 5f
talent               @ Offset: f3
to                   @ Offset: 141
find                 @ Offset: bc
in                   @ Offset: ee
writing              @ Offset: fc
these                @ Offset: 128
days.                @ Offset: 80
                     @ Offset: 4d
--                   @ Offset: 163
Jeff                 @ Offset: b5
"hemos"              @ Offset: 137
Bates,               @ Offset: 50
Director,            @ Offset: 115
OSDN;                @ Offset: e6
Co-evolver,          @ Offset: 14f
Slashdot             @ Offset: 8f
